delta_4,delta_5,price,delta_7,delta_1,delta_2,delta_3,time,delta_6
29454,29276,1143720,29855,27164,29632,29632,1507219200,29276
29632,29454,1143720,29276,0,27164,29632,1507218960,29276
32975,32975,1147063,32619,3343,3343,30507,1507218720,32797
30507,32975,1147063,32797,0,3343,3343,1507218480,32975
3407,30571,1147127,33039,64,64,3407,1507218240,33039
3471,3471,1147191,33103,64,128,128,1507218000,30635
128,3471,1147191,30635,0,64,128,1507217760,3471
389,389,1147452,3732,261,261,325,1507217520,3732
325,389,1147452,3732,0,261,261,1507217280,389
264,328,1147455,392,3,3,264,1507217040,392
266,266,1147457,394,2,5,5,1507216800,330
5,266,1147457,330,0,2,5,1507216560,266
139,139,1147591,400,134,134,136,1507216320,400
136,139,1147591,400,0,134,134,1507216080,139
680,682,1148137,685,546,546,680,1507215840,685
1224,1224,1148681,1229,544,1090,1090,1507215600,1226
1090,1224,1148681,1226,0,544,1090,1507215360,1224
1092,1092,1148683,1226,2,2,546,1507215120,1226
546,1092,1148683,1226,0,2,2,1507214880,1092
2,546,1148683,1092,0,0,2,1507214640,1092
2,2,1148683,1092,0,0,0,1507214400,546
0,2,1148683,546,0,0,0,1507214160,2
-479,-479,1148204,-477,-479,-479,-479,1507213920,-477
-479,-479,1148204,-477,0,-479,-479,1507213680,-479
182,182,1148865,182,661,661,182,1507213440,182
843,843,1149526,843,661,1322,1322,1507213200,843
1322,843,1149526,843,0,661,1322,1507212960,843
821,821,1149025,342,-501,-501,160,1507212720,342
160,821,1149025,342,0,-501,-501,1507212480,821
978,1639,1150504,2300,1479,1479,978,1507212240,2300
2460,2460,1151986,3782,1482,2961,2961,1507212000,3121
2961,2460,1151986,3121,0,1482,2961,1507211760,2460
4192,4192,1153217,3691,1231,1231,2713,1507211520,3691
2713,4192,1153217,3691,0,1231,1231,1507211280,4192
1682,3164,1153668,4643,451,451,1682,1507211040,4643
2132,2132,1154118,5093,450,901,901,1507210800,3614
901,2132,1154118,3614,0,450,901,1507210560,2132
-3630,-3630,1149587,-2399,-4531,-4531,-4081,1507210320,-2399
-4081,-3630,1149587,-2399,0,-4531,-4531,1507210080,-3630
-4664,-4214,1149454,-3763,-133,-133,-4664,1507209840,-3763
-4798,-4798,1149320,-3897,-134,-267,-267,1507209600,-4348
-267,-4798,1149320,-4348,0,-134,-267,1507209360,-4798
-1109,-1109,1148478,-5640,-842,-842,-976,1507209120,-5640
-976,-1109,1148478,-5640,0,-842,-842,1507208880,-1109
-2057,-2191,1147263,-2324,-1215,-1215,-2057,1507208640,-2324
-3273,-3273,1146047,-3540,-1216,-2431,-2431,1507208400,-3407
-2431,-3273,1146047,-3407,0,-1216,-2431,1507208160,-3273
-927,-927,1147551,-1769,1504,1504,288,1507207920,-1769
288,-927,1147551,-1769,0,1504,1504,1507207680,-927
2509,1293,1148556,78,1005,1005,2509,1507207440,78
3513,3513,1149560,1082,1004,2009,2009,1507207200,2297
2009,3513,1149560,2297,0,1004,2009,1507206960,3513
2881,2881,1150432,4385,872,872,1876,1507206720,4385
1876,2881,1150432,4385,0,872,872,1507206480,2881
-1282,-278,1148278,727,-2154,-2154,-1282,1507206240,727
-3435,-3435,1146125,-1426,-2153,-4307,-4307,1507206000,-2431
-4307,-3435,1146125,-2431,0,-2153,-4307,1507205760,-3435
-1109,-1109,1149323,-237,3198,3198,1045,1507205520,-237
1045,-1109,1149323,-237,0,3198,3198,1507205280,-1109
3638,1485,1149763,-669,440,440,3638,1507205040,-669
4078,4078,1150203,-229,440,880,880,1507204800,1925
880,4078,1150203,1925,0,440,880,1507204560,4078
5150,5150,1154473,8348,4270,4270,4710,1507204320,8348
4710,5150,1154473,8348,0,4270,4270,1507204080,5150
2140,2580,1152343,3020,-2130,-2130,2140,1507203840,3020
8,8,1150211,888,-2132,-4262,-4262,1507203600,448
-4262,8,1150211,448,0,-2132,-4262,1507203360,8
-6499,-6499,1147974,-2229,-2237,-2237,-4369,1507203120,-2229
-4369,-6499,1147974,-2229,0,-2237,-2237,1507202880,-6499
-2764,-4896,1147447,-7026,-527,-527,-2764,1507202640,-7026
-3292,-3292,1146919,-7554,-528,-1055,-1055,1507202400,-5424
-1055,-3292,1146919,-5424,0,-528,-1055,1507202160,-3292
-226,-226,1147748,-2463,829,829,301,1507201920,-2463
301,-226,1147748,-2463,0,829,829,1507201680,-226
2503,1975,1149422,1448,1674,1674,2503,1507201440,1448
4179,4179,1151098,3124,1676,3350,3350,1507201200,3651
3350,4179,1151098,3651,0,1676,3350,1507200960,4179
3715,3715,1151463,4544,365,365,2041,1507200720,4544
2041,3715,1151463,4544,0,365,365,1507200480,3715
-2375,-699,1148723,975,-2740,-2740,-2375,1507200240,975
-5112,-5112,1145986,-1762,-2737,-5477,-5477,1507200000,-3436
-5477,-5112,1145986,-3436,0,-2737,-5477,1507199760,-5112
-7295,-7295,1144168,-6930,-1818,-1818,-4555,1507199520,-6930
-4555,-7295,1144168,-6930,0,-1818,-1818,1507199280,-7295
-840,-3577,1145146,-6317,978,978,-840,1507199040,-6317
136,136,1146122,-5341,976,1954,1954,1507198800,-2601
1954,136,1146122,-2601,0,976,1954,1507198560,136
-6314,-6314,1137854,-8132,-8268,-8268,-7292,1507198320,-8132
-7292,-6314,1137854,-8132,0,-8268,-8268,1507198080,-6314
-11621,-10645,1134501,-9667,-3353,-3353,-11621,1507197840,-9667
-14974,-14974,1131148,-13020,-3353,-6706,-6706,1507197600,-13998
-6706,-14974,1131148,-13998,0,-3353,-6706,1507197360,-14974
-6213,-6213,1131641,-14481,493,493,-2860,1507197120,-14481
-2860,-6213,1131641,-14481,0,493,493,1507196880,-6213
938,-2415,1132086,-5768,445,445,938,1507196640,-5768
1380,1380,1132528,-5326,442,887,887,1507196400,-1973
887,1380,1132528,-1973,0,442,887,1507196160,1380
341,341,1131982,834,-546,-546,-104,1507195920,834
-104,341,1131982,834,0,-546,-546,1507195680,341
-1204,-762,1131324,-317,-658,-658,-1204,1507195440,-317
-1863,-1863,1130665,-976,-659,-1317,-1317,1507195200,-1421
-1317,-1863,1130665,-1421,0,-659,-1317,1507194960,-1863
-368,-368,1131614,-914,949,949,290,1507194720,-914
290,-368,1131614,-914,0,949,949,1507194480,-368
445,-214,1131110,-872,-504,-504,445,1507194240,-872
-56,-56,1130609,-1373,-501,-1005,-1005,1507194000,-715
-1005,-56,1130609,-715,0,-501,-1005,1507193760,-56
-2604,-2604,1129010,-1655,-1599,-1599,-2100,1507193520,-1655
-2100,-2604,1129010,-1655,0,-1599,-1599,1507193280,-2604
-2665,-3166,1127944,-3670,-1066,-1066,-2665,1507193040,-3670
-3729,-3729,1126880,-4734,-1064,-2130,-2130,1507192800,-4230
-2130,-3729,1126880,-4230,0,-1064,-2130,1507192560,-3729
-216,-216,1128794,-1815,1914,1914,850,1507192320,-1815
850,-216,1128794,-1815,0,1914,1914,1507192080,-216
-82,-1146,1126798,-2212,-1996,-1996,-82,1507191840,-2212
-2081,-2081,1124799,-4211,-1999,-3995,-3995,1507191600,-3145
-3995,-2081,1124799,-3145,0,-1999,-3995,1507191360,-2081
-4262,-4262,1124532,-2348,-267,-267,-2266,1507191120,-2348
-2266,-4262,1124532,-2348,0,-267,-267,1507190880,-4262
-2532,-4531,1122267,-6527,-2265,-2265,-2532,1507190640,-6527
-4795,-4795,1120004,-8790,-2263,-4528,-4528,1507190400,-6794
-4528,-4795,1120004,-6794,0,-2263,-4528,1507190160,-4795
-5064,-5064,1119468,-5331,-536,-536,-2799,1507189920,-5331
-2799,-5064,1119468,-5331,0,-536,-536,1507189680,-5064
-986,-3249,1119018,-5514,-450,-450,-986,1507189440,-5514
-1437,-1437,1118567,-5965,-451,-901,-901,1507189200,-3700
-901,-1437,1118567,-3700,0,-451,-901,1507188960,-1437
-9899,-9899,1109569,-10435,-8998,-8998,-9449,1507188720,-10435
-9449,-9899,1109569,-10435,0,-8998,-8998,1507188480,-9899
-9142,-9593,1109425,-10043,-144,-144,-9142,1507188240,-10043
-9289,-9289,1109278,-10190,-147,-291,-291,1507188000,-9740
-291,-9289,1109278,-9740,0,-147,-291,1507187760,-9289
250,250,1109819,-8748,541,541,394,1507187520,-8748
394,250,1109819,-8748,0,541,541,1507187280,250
-765,-912,1108513,-1056,-1306,-1306,-765,1507187040,-1056
-2068,-2068,1107210,-2359,-1303,-2609,-2609,1507186800,-2215
-2609,-2068,1107210,-2215,0,-1303,-2609,1507186560,-2068
-2609,-2609,1107210,-2068,0,0,-1303,1507186320,-2068
-1303,-2609,1107210,-2068,0,0,0,1507186080,-2609
189,-1114,1107399,-2420,189,189,189,1507185840,-2420
381,381,1107591,-2228,192,381,381,1507185600,-922
381,381,1107591,-922,0,192,381,1507185360,381
378,378,1107588,378,-3,-3,189,1507185120,378
189,378,1107588,378,0,-3,-3,1507184880,378
0,192,1107591,381,3,3,0,1507184640,381
0,0,1107591,381,0,3,3,1507184400,192
3,0,1107591,192,0,0,3,1507184160,0
2218,2218,1109806,2215,2215,2215,2215,1507183920,2215
2215,2218,1109806,2215,0,2215,2215,1507183680,2218
1988,1988,1109579,1991,-227,-227,1988,1507183440,1991
1762,1762,1109353,1765,-226,-453,-453,1507183200,1762
-453,1762,1109353,1762,0,-226,-453,1507182960,1762
-427,-427,1109379,1788,26,26,-200,1507182720,1788
-200,-427,1109379,1788,0,26,26,1507182480,-427
80,-146,1109433,-373,54,54,80,1507182240,-373
133,133,1109486,-320,53,107,107,1507182000,-93
107,133,1109486,-93,0,53,107,1507181760,133
102,102,1109481,128,-5,-5,48,1507181520,128
48,102,1109481,128,0,-5,-5,1507181280,102
-69,-16,1109417,38,-64,-64,-69,1507181040,38
-133,-133,1109353,-26,-64,-128,-128,1507180800,-80
-128,-133,1109353,-80,0,-64,-128,1507180560,-133
-672,-672,1108809,-677,-544,-544,-608,1507180320,-677
-608,-672,1108809,-677,0,-544,-544,1507180080,-672
-858,-922,1108495,-986,-314,-314,-858,1507179840,-986
-1173,-1173,1108180,-1301,-315,-629,-629,1507179600,-1237
-629,-1173,1108180,-1237,0,-315,-629,1507179360,-1173
-3,-3,1108806,-547,626,626,311,1507179120,-547
311,-3,1108806,-547,0,626,626,1507178880,-3
626,311,1108806,-3,0,0,626,1507178640,-3
626,626,1108806,-3,0,0,0,1507178400,311
0,626,1108806,311,0,0,0,1507178160,626
0,0,1108806,626,0,0,0,1507177920,626
0,0,1108806,626,0,0,0,1507177680,0
-146,-146,1108660,-146,-146,-146,-146,1507177440,-146
-293,-293,1108513,-293,-147,-293,-293,1507177200,-293
-293,-293,1108513,-293,0,-147,-293,1507176960,-293
-1364,-1364,1107442,-1364,-1071,-1071,-1218,1507176720,-1364
-1218,-1364,1107442,-1364,0,-1071,-1071,1507176480,-1364
-1719,-1866,1106794,-2012,-648,-648,-1719,1507176240,-2012
-2367,-2367,1106146,-2660,-648,-1296,-1296,1507176000,-2514
-1296,-2367,1106146,-2514,0,-648,-1296,1507175760,-2367
1058,1058,1108500,-13,2354,2354,1706,1507175520,-13
1706,1058,1108500,-13,0,2354,2354,1507175280,1058
2357,1709,1108503,1061,3,3,2357,1507175040,1061
2357,2357,1108503,1061,0,3,3,1507174800,1709
3,2357,1108503,1709,0,0,3,1507174560,2357
-2322,-2322,1106178,32,-2325,-2325,-2325,1507174320,32
-2325,-2322,1106178,32,0,-2325,-2325,1507174080,-2322
-1291,-1291,1107212,-1288,1034,1034,-1291,1507173840,-1288
-254,-254,1108249,-251,1037,2071,2071,1507173600,-254
2071,-254,1108249,-254,0,1037,2071,1507173360,-254
3958,3958,1110136,1633,1887,1887,2924,1507173120,1633
2924,3958,1110136,1633,0,1887,1887,1507172880,3958
1890,2927,1110139,3961,3,3,1890,1507172640,3961
1890,1890,1110139,3961,0,3,3,1507172400,2927
3,1890,1110139,2927,0,0,3,1507172160,1890
-1388,-1388,1108748,499,-1391,-1391,-1391,1507171920,499
-1391,-1388,1108748,499,0,-1391,-1391,1507171680,-1388
-1391,-1391,1108748,-1388,0,0,-1391,1507171440,-1388
-1391,-1391,1108748,-1388,0,0,0,1507171200,-1391
0,-1391,1108748,-1391,0,0,0,1507170960,-1391
-1458,-1458,1107290,-2849,-1458,-1458,-1458,1507170720,-2849
-1458,-1458,1107290,-2849,0,-1458,-1458,1507170480,-1458
-1898,-1898,1106850,-1898,-440,-440,-1898,1507170240,-1898
-2340,-2340,1106408,-2340,-442,-882,-882,1507170000,-2340
-882,-2340,1106408,-2340,0,-442,-882,1507169760,-2340
440,440,1107730,-1018,1322,1322,880,1507169520,-1018
880,440,1107730,-1018,0,1322,1322,1507169280,440
4368,3926,1110776,3486,3046,3046,4368,1507169040,3486
7415,7415,1113823,6533,3047,6093,6093,1507168800,6973
6093,7415,1113823,6973,0,3047,6093,1507168560,7415
6039,6039,1113769,7361,-54,-54,2993,1507168320,7361
2993,6039,1113769,7361,0,-54,-54,1507168080,6039
128,3175,1113951,6221,182,182,128,1507167840,6221
312,312,1114135,6405,184,366,366,1507167600,3359
366,312,1114135,3359,0,184,366,1507167360,312
4366,4366,1118135,4312,4000,4000,4184,1507167120,4312
4184,4366,1118135,4312,0,4000,4000,1507166880,4366
8739,8923,1122874,9105,4739,4739,8739,1507166640,9105
13478,13478,1127613,13844,4739,9478,9478,1507166400,13662
9478,13478,1127613,13662,0,4739,9478,1507166160,13478
9329,9329,1127464,13329,-149,-149,4590,1507165920,13329
4590,9329,1127464,13329,0,-149,-149,1507165680,9329
-143,4596,1127470,9335,6,6,-143,1507165440,9335
-141,-141,1127472,9337,2,8,8,1507165200,4598
8,-141,1127472,4598,0,2,8,1507164960,-141
3,3,1127467,-146,-5,-5,-3,1507164720,-146
-3,3,1127467,-146,0,-5,-5,1507164480,3
189,191,1127661,197,194,194,189,1507164240,197
381,381,1127853,389,192,386,386,1507164000,383
386,381,1127853,383,0,192,386,1507163760,381
672,672,1128139,667,286,286,478,1507163520,667
478,672,1128139,667,0,286,286,1507163280,672
613,805,1128466,999,327,327,613,1507163040,999
941,941,1128794,1327,328,655,655,1507162800,1133
655,941,1128794,1133,0,328,655,1507162560,941
-672,-672,1127467,-386,-1327,-1327,-999,1507162320,-386
-999,-672,1127467,-386,0,-1327,-1327,1507162080,-672
-397,-69,1128397,258,930,930,-397,1507161840,258
531,531,1129325,1186,928,1858,1858,1507161600,859
1858,531,1129325,859,0,928,1858,1507161360,531
2130,2130,1129597,803,272,272,1200,1507161120,803
1200,2130,1129597,803,0,272,272,1507160880,2130
-368,560,1128957,1490,-640,-640,-368,1507160640,1490
-1005,-1005,1128320,853,-637,-1277,-1277,1507160400,-77
-1277,-1005,1128320,-77,0,-637,-1277,1507160160,-1005
-2378,-2378,1127219,-2106,-1101,-1101,-1738,1507159920,-2106
-1738,-2378,1127219,-2106,0,-1101,-1101,1507159680,-2378
-1378,-2015,1126942,-2655,-277,-277,-1378,1507159440,-2655
-1658,-1658,1126662,-2935,-280,-557,-557,1507159200,-2295
-557,-1658,1126662,-2295,0,-280,-557,1507158960,-1658
-1157,-1157,1126062,-2258,-600,-600,-880,1507158720,-2258
-880,-1157,1126062,-2258,0,-600,-600,1507158480,-1157
-666,-946,1125996,-1223,-66,-66,-666,1507158240,-1223
-733,-733,1125929,-1290,-67,-133,-133,1507158000,-1013
-133,-733,1125929,-1013,0,-67,-133,1507157760,-733
-197,-197,1125865,-797,-64,-64,-131,1507157520,-797
-131,-197,1125865,-797,0,-64,-64,1507157280,-197
-1466,-1533,1124463,-1599,-1402,-1402,-1466,1507157040,-1599
-2871,-2871,1123058,-3004,-1405,-2807,-2807,1507156800,-2938
-2807,-2871,1123058,-2938,0,-1405,-2807,1507156560,-2871
-2442,-2442,1123423,-2506,365,365,-1040,1507156320,-2506
-1040,-2442,1123423,-2506,0,365,365,1507156080,-2442
365,-1040,1123423,-2442,0,0,365,1507155840,-2442
365,365,1123423,-2442,0,0,0,1507155600,-1040
0,365,1123423,-1040,0,0,0,1507155360,365
0,0,1123423,365,0,0,0,1507155120,365
0,0,1123423,365,0,0,0,1507154880,0
0,0,1123423,0,0,0,0,1507154640,0
0,0,1123423,0,0,0,0,1507154400,0
-5036,-5036,1118387,-5036,-5036,-5036,-5036,1507154160,-5036
-6729,-6729,1116694,-6729,-1693,-6729,-6729,1507153920,-6729
-6729,-6729,1116694,-6729,0,-1693,-6729,1507153680,-6729
-7799,-7799,1115624,-7799,-1070,-1070,-2763,1507153440,-7799
-2763,-7799,1115624,-7799,0,-1070,-1070,1507153200,-7799
1337,-356,1118031,-5392,2407,2407,1337,1507152960,-5392
1337,1337,1118031,-5392,0,2407,2407,1507152720,-356
4278,3208,1119902,1515,1871,1871,4278,1507152480,3208
