delta_4,delta_5,price,delta_7,delta_1,delta_2,delta_3,time,delta_6
959599,959320,1127861,951390,960901,960872,959982,1507154400,955600
969013,968630,1136892,964631,9031,969932,969903,1507068000,968351
991913,991023,1158902,990361,22010,31041,991942,1506981600,990640
993015,992986,1159975,991713,1073,23083,32114,1506895200,992096
4639,965540,1132500,964621,-27475,-26402,-4392,1506808800,965511
-27357,-18326,1109535,942546,-22965,-50440,-49367,1506722400,942575
-59446,-37436,1099456,932496,-10079,-33044,-60519,1506636000,-28405
-71949,-70876,1088026,-39835,-11430,-21509,-44474,1506549600,-48866
-77682,-105157,1054818,-82074,-33208,-44638,-54717,1506463200,-104084
-86561,-109526,1022974,-135928,-31844,-65052,-76482,1506376800,-137001
-114082,-124161,985374,-174601,-37600,-69444,-102652,1506290400,-147126
-123595,-135025,964431,-168069,-20943,-58543,-90387,1506204000,-145104
-100812,-134020,954006,-155529,-10425,-31368,-68968,1506117600,-145450
-60456,-92300,962518,-136938,8512,-1913,-22856,1506031200,-125508
18024,-19576,1003398,-84628,40880,49392,38967,1505944800,-51420
64228,43285,1028659,-26159,25261,66141,74653,1505858400,5685
63929,53504,1017935,-5039,-10724,14537,55417,1505772000,32561
23953,32465,986471,1097,-31464,-42188,-16927,1505685600,22040
-38029,2851,965369,938,-21102,-52566,-63290,1505599200,11363
-95395,-70134,933264,-20742,-32105,-53207,-84671,1505512800,-29254
-103772,-114496,914163,-48355,-19101,-51206,-72308,1505426400,-89235
-8216,-39680,978255,-25143,64092,44991,12886,1505340000,-50404
95202,74100,1060571,31912,82316,146408,127307,1505253600,42636
154537,122432,1087801,69866,27230,109546,173638,1505167200,101330
171138,152037,1085301,98830,-2500,24730,107046,1505080800,119932
116690,180782,1094945,129576,9644,7144,34374,1504994400,161681
64659,146975,1125230,191966,30285,39929,37429,1504908000,211067
69568,96798,1157369,243206,32139,62424,72068,1504821600,179114
81065,78565,1166366,188111,8997,41136,71421,1504735200,105795
58596,68240,1153541,92970,-12825,-3828,28311,1504648800,65740
14487,44772,1139717,51916,-13824,-26649,-17652,1504562400,54416
16745,48884,1174114,88813,34397,20573,7748,1504476000,79169
37485,46482,1203851,108906,29737,64134,50310,1504389600,78621
74477,61652,1228018,102788,24167,53904,88301,1504303200,70649
83581,69757,1223298,65929,-4720,19447,49184,1504216800,56932
15641,50038,1189755,23389,-33543,-38263,-14096,1504130400,36214
-39689,-9952,1164162,10621,-25593,-59136,-63856,1504044000,24445
-105751,-81584,1122267,-17450,-41895,-67488,-101031,1503957600,-51847
-121909,-126629,1101389,-72725,-20878,-62773,-88366,1503871200,-102462
-86215,-119758,1103540,-100311,2151,-18727,-60622,1503784800,-124478
-56551,-82144,1107611,-120407,4071,6222,-14656,1503698400,-115687
-30087,-71982,1092180,-131118,-15431,-11360,-9209,1503612000,-97575
-25500,-46378,1075889,-113866,-16291,-31722,-27651,1503525600,-88273
-67916,-65765,1035624,-128538,-40265,-56556,-71987,1503439200,-86643
-82757,-78686,1024854,-97413,-10770,-51035,-67326,1503352800,-76535
-47518,-62949,1044662,-56727,19808,9038,-31227,1503266400,-58878
-16622,-32913,1059267,-44273,14605,34413,23643,1503180000,-48344
38662,-1603,1074286,-33325,15019,29624,49432,1503093600,-17894
81473,70703,1106327,14147,32041,47060,61665,1503007200,30438
60754,80562,1105416,29527,-911,31130,46149,1502920800,69792
20755,35360,1080022,44398,-25394,-26305,5736,1502834400,55168
9049,24068,1083335,58481,3313,-22081,-22992,1502748000,38673
-44607,-12566,1061720,17058,-21615,-18302,-43696,1502661600,2453
-96771,-97682,1008645,-50622,-53075,-74690,-71377,1502575200,-65641
-138766,-164160,941256,-133030,-67389,-120464,-142079,1502488800,-165071
-192463,-189150,890872,-215455,-50384,-117773,-170848,1502402400,-214544
-186266,-207881,875454,-229962,-15418,-65802,-133191,1502316000,-204568
-130090,-183165,878555,-201467,3101,-12317,-62701,1502229600,-204780
-70371,-137760,870885,-212450,-7670,-4569,-19987,1502143200,-190835
-49847,-100231,841025,-220695,-29860,-37530,-34429,1502056800,-167620
-53226,-68644,822228,-186417,-18797,-48657,-56327,1501970400,-119028
-107283,-104182,771272,-169984,-50956,-69753,-99613,1501884000,-119600
-150600,-158270,720285,-170587,-50987,-101943,-120740,1501797600,-155169
-143563,-173423,697462,-177992,-22823,-73810,-124766,1501711200,-181093
